customer_id,first_name,last_name,email,phone,address,city,state,zip_code,registration_date,is_active
42,Vikram,Verma,vikram.verma42@email.com,917518213060,739 Main Street,Hyderabad,Telangana,301939,2025-05-31,True
43,Priya,Agarwal,priya.agarwal43@email.com,919964229896,190 Main Street,Jaipur,Rajasthan,300845,2025-09-10,True
44,Divya,Nair,divya.nair44@email.com,919532256470,779 Main Street,Chennai,Tamil Nadu,650121,2024-08-16,True
45,Vikram,Patel,vikram.patel45@email.com,918272368870,233 Main Street,Hyderabad,Telangana,478411,2025-10-18,True
46,Vikram,Sharma,vikram.sharma46@email.com,917543669676,281 Main Street,Jaipur,Rajasthan,147726,2026-02-23,True
47,Arjun,Verma,arjun.verma47@email.com,919739629302,890 Main Street,Bangalore,Karnataka,889359,2024-12-03,True
48,Priya,Shah,priya.shah48@email.com,919465587067,292 Main Street,Mumbai,Maharashtra,592198,2024-12-15,True
49,Neha,Gupta,neha.gupta49@email.com,917220661337,259 Main Street,Bangalore,Karnataka,600935,2025-12-24,True
50,Kavita,Patel,kavita.patel50@email.com,919112035409,76 Main Street,Pune,Maharashtra,705050,2024-07-14,True
51,Karan,Sharma,karan.sharma51@email.com,917640798731,831 Main Street,Bangalore,Karnataka,690180,2025-06-12,True
52,Priya,Singh,priya.singh52@email.com,919396905421,783 Main Street,Delhi,Delhi,536390,2024-08-07,True
53,Pooja,Mehta,pooja.mehta53@email.com,917969318858,795 Main Street,Lucknow,Uttar Pradesh,647957,2025-03-26,True
54,Neha,Nair,neha.nair54@email.com,919527696207,440 Main Street,Chennai,Tamil Nadu,420214,2024-09-14,True
55,Pooja,Sharma,pooja.sharma55@email.com,917426204934,971 Main Street,Lucknow,Uttar Pradesh,899787,2025-09-19,True
56,Karan,Singh,karan.singh56@email.com,919836517266,84 Main Street,Chennai,Tamil Nadu,264686,2025-08-17,True
57,Amit,Joshi,amit.joshi57@email.com,917672302490,3 Main Street,Delhi,Delhi,528361,2025-01-13,True
58,Divya,Chopra,divya.chopra58@email.com,918250949136,34 Main Street,Ahmedabad,Gujarat,342720,2025-06-28,True
59,Divya,Verma,divya.verma59@email.com,917305714736,704 Main Street,Ahmedabad,Gujarat,344762,2025-07-23,True
60,Rohan,Mehta,rohan.mehta60@email.com,919839759520,824 Main Street,Lucknow,Uttar Pradesh,307428,2025-02-08,True
61,Priya,Joshi,priya.joshi61@email.com,919781569954,153 Main Street,Hyderabad,Telangana,378535,2025-11-25,True
62,Priya,Sharma,priya.sharma62@email.com,918321182659,610 Main Street,Bangalore,Karnataka,885339,2024-09-14,True
63,Sanjay,Verma,sanjay.verma63@email.com,917534094883,480 Main Street,Ahmedabad,Gujarat,822131,2025-06-12,True
64,Divya,Reddy,divya.reddy64@email.com,919149511642,553 Main Street,Chennai,Tamil Nadu,617781,2025-01-26,True
65,Priya,Chopra,priya.chopra65@email.com,918855548990,753 Main Street,Mumbai,Maharashtra,437978,2024-08-09,True
66,Vikram,Sharma,vikram.sharma66@email.com,917983222878,985 Main Street,Delhi,Delhi,807053,2024-09-07,True
67,Pooja,Sharma,pooja.sharma67@email.com,919474961963,42 Main Street,Chennai,Tamil Nadu,900177,2025-10-22,True
68,Neha,Joshi,neha.joshi68@email.com,918194673401,186 Main Street,Ahmedabad,Gujarat,713762,2025-01-28,True
69,Karan,Shah,karan.shah69@email.com,917391883149,482 Main Street,Ahmedabad,Gujarat,464863,2025-02-25,True
70,Anjali,Gupta,anjali.gupta70@email.com,917690737494,338 Main Street,Delhi,Delhi,531641,2024-05-09,True
71,Neha,Verma,neha.verma71@email.com,919362646960,38 Main Street,Pune,Maharashtra,576919,2026-01-19,True
72,Anjali,Verma,anjali.verma72@email.com,917497879474,994 Main Street,Kolkata,West Bengal,910075,2025-03-02,True
73,Kavita,Joshi,kavita.joshi73@email.com,919824629834,891 Main Street,Mumbai,Maharashtra,668950,2025-01-01,True
74,Rahul,Sharma,rahul.sharma74@email.com,919226680251,371 Main Street,Hyderabad,Telangana,752878,2024-11-25,True
75,Karan,Nair,karan.nair75@email.com,917874275988,274 Main Street,Mumbai,Maharashtra,675898,2025-12-06,True
76,Sanjay,Verma,sanjay.verma76@email.com,919998961044,497 Main Street,Ahmedabad,Gujarat,227324,2026-03-21,True
77,Karan,Chopra,karan.chopra77@email.com,917680229045,319 Main Street,Hyderabad,Telangana,677596,2026-04-05,True
78,Arjun,Reddy,arjun.reddy78@email.com,917965081954,862 Main Street,Delhi,Delhi,218972,2025-01-02,True
79,Priya,Malhotra,priya.malhotra79@email.com,919140506492,956 Main Street,Bangalore,Karnataka,851413,2025-06-25,True
80,Arjun,Agarwal,arjun.agarwal80@email.com,918784517419,855 Main Street,Chennai,Tamil Nadu,605937,2024-12-22,True
81,Sneha,Nair,sneha.nair81@email.com,917621232513,393 Main Street,Jaipur,Rajasthan,299869,2024-08-14,True
82,Arjun,Agarwal,arjun.agarwal82@email.com,917299832023,283 Main Street,Bangalore,Karnataka,910208,2025-02-19,True
83,Anjali,Mehta,anjali.mehta83@email.com,918147497835,841 Main Street,Jaipur,Rajasthan,102689,2025-07-04,True
84,Divya,Verma,divya.verma84@email.com,919490751945,676 Main Street,Lucknow,Uttar Pradesh,613425,2025-11-18,True
85,Neha,Joshi,neha.joshi85@email.com,918482296058,341 Main Street,Ahmedabad,Gujarat,678727,2024-10-10,True
86,Rahul,Nair,rahul.nair86@email.com,917810255760,715 Main Street,Kolkata,West Bengal,350405,2024-09-11,True
87,Rahul,Singh,rahul.singh87@email.com,917187463722,326 Main Street,Pune,Maharashtra,880879,2024-12-21,True
88,Divya,Mehta,divya.mehta88@email.com,918658195603,680 Main Street,Pune,Maharashtra,930884,2024-06-21,True
89,Amit,Nair,amit.nair89@email.com,917542223599,515 Main Street,Mumbai,Maharashtra,718849,2025-05-15,True
90,Kavita,Patel,kavita.patel90@email.com,917428258482,539 Main Street,Ahmedabad,Gujarat,579123,2026-04-04,True
91,Divya,Kumar,divya.kumar91@email.com,919812264367,994 Main Street,Pune,Maharashtra,261859,2026-02-02,True
92,Neha,Mehta,neha.mehta92@email.com,918454109425,639 Main Street,Chennai,Tamil Nadu,826353,2025-03-08,True
93,Karan,Patel,karan.patel93@email.com,919896343368,880 Main Street,Kolkata,West Bengal,659543,2025-03-26,True
94,Anjali,Malhotra,anjali.malhotra94@email.com,919323646093,37 Main Street,Ahmedabad,Gujarat,747453,2026-02-08,True
95,Sneha,Malhotra,sneha.malhotra95@email.com,917977046129,765 Main Street,Chennai,Tamil Nadu,194769,2025-01-30,True
96,Priya,Mehta,priya.mehta96@email.com,918905584866,171 Main Street,Delhi,Delhi,827712,2025-06-17,True
97,Sanjay,Sharma,sanjay.sharma97@email.com,918393178591,816 Main Street,Mumbai,Maharashtra,158845,2025-06-23,True
98,Anjali,Gupta,anjali.gupta98@email.com,917625217504,251 Main Street,Pune,Maharashtra,656968,2025-02-22,True
99,Pooja,Malhotra,pooja.malhotra99@email.com,917730074215,180 Main Street,Bangalore,Karnataka,182804,2024-08-03,True
100,Kavita,Reddy,kavita.reddy100@email.com,919934040683,247 Main Street,Lucknow,Uttar Pradesh,621841,2024-08-30,True
101,Amit,Singh,amit.singh101@email.com,919739779525,261 Main Street,Ahmedabad,Gujarat,581894,2025-08-01,True
102,Karan,Sharma,karan.sharma102@email.com,918235368585,694 Main Street,Ahmedabad,Gujarat,673149,2025-11-09,True
103,Priya,Nair,priya.nair103@email.com,919523601252,307 Main Street,Kolkata,West Bengal,769975,2025-02-09,True
104,Divya,Verma,divya.verma104@email.com,918297602688,204 Main Street,Ahmedabad,Gujarat,503380,2024-12-11,True
105,Priya,Singh,priya.singh105@email.com,919456389272,368 Main Street,Pune,Maharashtra,702733,2025-06-21,True
106,Divya,Verma,divya.verma106@email.com,919827075539,406 Main Street,Mumbai,Maharashtra,387813,2026-04-11,True
107,Pooja,Shah,pooja.shah107@email.com,919604496061,764 Main Street,Mumbai,Maharashtra,620856,2025-06-30,True
108,Rohan,Mehta,rohan.mehta108@email.com,919607324296,822 Main Street,Hyderabad,Telangana,469435,2025-09-07,True
109,Karan,Singh,karan.singh109@email.com,918076433900,695 Main Street,Lucknow,Uttar Pradesh,892280,2024-06-13,True
110,Karan,Shah,karan.shah110@email.com,919698305085,100 Main Street,Bangalore,Karnataka,757937,2024-06-27,True
111,Raj,Verma,raj.verma111@email.com,917143299564,594 Main Street,Ahmedabad,Gujarat,482584,2025-12-06,True
112,Priya,Verma,priya.verma112@email.com,918784572192,180 Main Street,Kolkata,West Bengal,310548,2025-12-05,True
113,Rohan,Joshi,rohan.joshi113@email.com,919279993598,514 Main Street,Kolkata,West Bengal,385765,2025-11-02,True
114,Vikram,Shah,vikram.shah114@email.com,918267622868,765 Main Street,Ahmedabad,Gujarat,455168,2025-12-23,True
115,Neha,Patel,neha.patel115@email.com,917969007714,881 Main Street,Bangalore,Karnataka,809176,2024-05-29,True
116,Rahul,Shah,rahul.shah116@email.com,918570991899,93 Main Street,Jaipur,Rajasthan,929090,2025-03-11,True
117,Raj,Verma,raj.verma117@email.com,917530809576,466 Main Street,Jaipur,Rajasthan,486490,2024-05-31,True
118,Divya,Malhotra,divya.malhotra118@email.com,919510666490,391 Main Street,Chennai,Tamil Nadu,962367,2024-07-05,True
119,Anjali,Patel,anjali.patel119@email.com,919024977737,26 Main Street,Hyderabad,Telangana,749641,2024-09-22,True
120,Anjali,Chopra,anjali.chopra120@email.com,919781645815,65 Main Street,Hyderabad,Telangana,766269,2024-12-30,True
121,Sanjay,Agarwal,sanjay.agarwal121@email.com,919788462200,419 Main Street,Chennai,Tamil Nadu,222343,2025-11-27,True
122,Raj,Sharma,raj.sharma122@email.com,919115806625,119 Main Street,Chennai,Tamil Nadu,201913,2025-08-22,True
123,Sanjay,Joshi,sanjay.joshi123@email.com,918669221121,465 Main Street,Bangalore,Karnataka,489033,2024-06-02,True
124,Divya,Agarwal,divya.agarwal124@email.com,918800135697,602 Main Street,Jaipur,Rajasthan,878325,2025-11-12,True
125,Sanjay,Reddy,sanjay.reddy125@email.com,919101729519,631 Main Street,Delhi,Delhi,527940,2025-07-07,True
126,Raj,Agarwal,raj.agarwal126@email.com,917933166190,455 Main Street,Kolkata,West Bengal,566297,2025-08-21,True
127,Kavita,Gupta,kavita.gupta127@email.com,919944974316,377 Main Street,Delhi,Delhi,670913,2024-06-28,True
128,Anjali,Sharma,anjali.sharma128@email.com,918184901787,195 Main Street,Pune,Maharashtra,228093,2025-01-09,True
129,Priya,Malhotra,priya.malhotra129@email.com,919756099698,655 Main Street,Hyderabad,Telangana,726152,2026-03-29,True
130,Raj,Mehta,raj.mehta130@email.com,918046120419,129 Main Street,Kolkata,West Bengal,925206,2024-09-18,True
131,Sneha,Patel,sneha.patel131@email.com,917889734128,601 Main Street,Jaipur,Rajasthan,326441,2025-08-24,True
132,Anjali,Mehta,anjali.mehta132@email.com,919559721644,3 Main Street,Bangalore,Karnataka,390743,2025-11-22,True
133,Amit,Joshi,amit.joshi133@email.com,917749459431,113 Main Street,Chennai,Tamil Nadu,793169,2026-03-24,True
134,Amit,Sharma,amit.sharma134@email.com,918021908455,603 Main Street,Kolkata,West Bengal,439498,2026-04-03,True
135,Amit,Verma,amit.verma135@email.com,917544423789,760 Main Street,Mumbai,Maharashtra,541409,2024-10-28,True
136,Priya,Agarwal,priya.agarwal136@email.com,919045460840,460 Main Street,Delhi,Delhi,915809,2025-04-14,True
137,Arjun,Chopra,arjun.chopra137@email.com,918941348507,516 Main Street,Delhi,Delhi,332311,2024-07-29,True
138,Raj,Agarwal,raj.agarwal138@email.com,918295492409,470 Main Street,Jaipur,Rajasthan,774591,2026-03-19,True
139,Raj,Nair,raj.nair139@email.com,918830831254,703 Main Street,Pune,Maharashtra,213206,2024-12-03,True
140,Divya,Nair,divya.nair140@email.com,917346992476,330 Main Street,Delhi,Delhi,737846,2025-11-19,True
141,Priya,Kumar,priya.kumar141@email.com,919681423225,649 Main Street,Chennai,Tamil Nadu,713799,2024-10-05,True
142,Divya,Gupta,divya.gupta142@email.com,919565778475,544 Main Street,Pune,Maharashtra,409222,2025-01-10,True
143,Arjun,Chopra,arjun.chopra143@email.com,917425968237,813 Main Street,Pune,Maharashtra,835869,2025-12-23,True
144,Kavita,Malhotra,kavita.malhotra144@email.com,917923517027,441 Main Street,Jaipur,Rajasthan,573489,2025-08-29,True
145,Rahul,Gupta,rahul.gupta145@email.com,918712533097,426 Main Street,Ahmedabad,Gujarat,865054,2026-01-12,True
146,Anjali,Reddy,anjali.reddy146@email.com,919856616537,262 Main Street,Kolkata,West Bengal,492483,2025-11-14,True
147,Karan,Nair,karan.nair147@email.com,917391807468,852 Main Street,Delhi,Delhi,189511,2026-01-14,True
148,Rahul,Patel,rahul.patel148@email.com,917558841618,570 Main Street,Kolkata,West Bengal,162894,2024-08-27,True
149,Arjun,Joshi,arjun.joshi149@email.com,919877685081,126 Main Street,Kolkata,West Bengal,530764,2025-04-22,True
150,Kavita,Malhotra,kavita.malhotra150@email.com,917220959215,992 Main Street,Pune,Maharashtra,401601,2024-08-13,True
151,Vikram,Gupta,vikram.gupta151@email.com,919482141132,520 Main Street,Delhi,Delhi,323072,2025-11-12,True
152,Karan,Nair,karan.nair152@email.com,917464794418,359 Main Street,Hyderabad,Telangana,986438,2024-09-27,True
153,Anjali,Patel,anjali.patel153@email.com,919465740756,232 Main Street,Chennai,Tamil Nadu,946432,2025-02-04,True
154,Kavita,Joshi,kavita.joshi154@email.com,919635277155,692 Main Street,Lucknow,Uttar Pradesh,773918,2024-09-26,True
155,Raj,Chopra,raj.chopra155@email.com,917124352982,185 Main Street,Chennai,Tamil Nadu,386544,2024-04-30,True
156,Rohan,Verma,rohan.verma156@email.com,918507634128,7 Main Street,Kolkata,West Bengal,290217,2025-11-24,True
157,Pooja,Malhotra,pooja.malhotra157@email.com,917298867122,146 Main Street,Pune,Maharashtra,876962,2024-07-10,True
158,Raj,Patel,raj.patel158@email.com,917923988689,386 Main Street,Jaipur,Rajasthan,540226,2025-01-10,True
159,Anjali,Kumar,anjali.kumar159@email.com,918338472296,739 Main Street,Kolkata,West Bengal,440140,2024-09-15,True
160,Pooja,Patel,pooja.patel160@email.com,917668210614,162 Main Street,Mumbai,Maharashtra,891083,2024-07-26,True
161,Raj,Malhotra,raj.malhotra161@email.com,918168672809,454 Main Street,Delhi,Delhi,794093,2025-02-09,True
162,Neha,Chopra,neha.chopra162@email.com,918778905619,280 Main Street,Ahmedabad,Gujarat,326040,2024-11-11,True
163,Priya,Gupta,priya.gupta163@email.com,917476267947,291 Main Street,Pune,Maharashtra,811163,2024-05-25,True
164,Pooja,Nair,pooja.nair164@email.com,919865312534,316 Main Street,Jaipur,Rajasthan,147623,2025-09-06,True
165,Rahul,Chopra,rahul.chopra165@email.com,917033015788,210 Main Street,Mumbai,Maharashtra,416061,2025-09-15,True
166,Rohan,Kumar,rohan.kumar166@email.com,918243165953,336 Main Street,Chennai,Tamil Nadu,225812,2026-04-12,True
167,Neha,Agarwal,neha.agarwal167@email.com,917754603440,133 Main Street,Pune,Maharashtra,498676,2024-10-21,True
168,Divya,Singh,divya.singh168@email.com,919399699438,854 Main Street,Jaipur,Rajasthan,800499,2025-04-22,True
169,Priya,Reddy,priya.reddy169@email.com,918873548915,20 Main Street,Mumbai,Maharashtra,582087,2026-01-30,True
170,Kavita,Gupta,kavita.gupta170@email.com,918843761970,588 Main Street,Lucknow,Uttar Pradesh,524068,2024-04-23,True
171,Karan,Reddy,karan.reddy171@email.com,917494665880,415 Main Street,Chennai,Tamil Nadu,121869,2025-05-22,True
172,Amit,Mehta,amit.mehta172@email.com,918976101133,852 Main Street,Lucknow,Uttar Pradesh,823108,2025-04-14,True
173,Priya,Reddy,priya.reddy173@email.com,918045036297,447 Main Street,Delhi,Delhi,717476,2025-03-05,True
174,Arjun,Patel,arjun.patel174@email.com,918332619083,764 Main Street,Pune,Maharashtra,456005,2025-09-05,True
175,Anjali,Mehta,anjali.mehta175@email.com,917328046924,523 Main Street,Bangalore,Karnataka,763984,2025-12-24,True
176,Arjun,Joshi,arjun.joshi176@email.com,918500555353,360 Main Street,Hyderabad,Telangana,862712,2024-06-28,True
177,Kavita,Kumar,kavita.kumar177@email.com,917441542090,150 Main Street,Hyderabad,Telangana,368402,2025-09-29,True
178,Amit,Chopra,amit.chopra178@email.com,919815389788,78 Main Street,Bangalore,Karnataka,285751,2024-07-15,True
179,Neha,Nair,neha.nair179@email.com,919488796494,460 Main Street,Lucknow,Uttar Pradesh,814220,2024-09-18,True
180,Karan,Malhotra,karan.malhotra180@email.com,918388168801,885 Main Street,Lucknow,Uttar Pradesh,757685,2025-05-31,True
181,Amit,Nair,amit.nair181@email.com,919014000727,453 Main Street,Delhi,Delhi,762055,2025-06-13,True
182,Rohan,Verma,rohan.verma182@email.com,917241257421,361 Main Street,Lucknow,Uttar Pradesh,631981,2026-02-03,True
183,Vikram,Nair,vikram.nair183@email.com,917161521910,59 Main Street,Ahmedabad,Gujarat,486649,2025-06-30,True
184,Priya,Malhotra,priya.malhotra184@email.com,919641440900,609 Main Street,Delhi,Delhi,631699,2025-03-22,True
185,Neha,Chopra,neha.chopra185@email.com,917176191212,461 Main Street,Jaipur,Rajasthan,949153,2024-09-11,True
186,Karan,Singh,karan.singh186@email.com,919598480273,488 Main Street,Kolkata,West Bengal,625721,2025-11-16,True
187,Raj,Nair,raj.nair187@email.com,918475054001,732 Main Street,Delhi,Delhi,188425,2024-11-19,True
188,Karan,Kumar,karan.kumar188@email.com,918064051191,725 Main Street,Mumbai,Maharashtra,559022,2025-01-25,True
189,Arjun,Joshi,arjun.joshi189@email.com,917681809785,373 Main Street,Lucknow,Uttar Pradesh,490963,2025-07-04,True
190,Rahul,Reddy,rahul.reddy190@email.com,919915843503,613 Main Street,Kolkata,West Bengal,154909,2024-07-12,True
191,Karan,Gupta,karan.gupta191@email.com,918416011033,97 Main Street,Delhi,Delhi,685066,2024-05-25,True
192,Rahul,Verma,rahul.verma192@email.com,919819921250,988 Main Street,Chennai,Tamil Nadu,731977,2025-11-17,True
193,Anjali,Patel,anjali.patel193@email.com,919850192297,145 Main Street,Lucknow,Uttar Pradesh,466813,2025-06-06,True
194,Karan,Agarwal,karan.agarwal194@email.com,917553843145,610 Main Street,Pune,Maharashtra,843266,2026-01-23,True
195,Vikram,Joshi,vikram.joshi195@email.com,919763782498,811 Main Street,Pune,Maharashtra,444432,2025-12-10,True
196,Karan,Agarwal,karan.agarwal196@email.com,917401377436,662 Main Street,Jaipur,Rajasthan,803024,2025-02-10,True
197,Arjun,Gupta,arjun.gupta197@email.com,918557345129,317 Main Street,Mumbai,Maharashtra,289019,2025-09-12,True
198,Anjali,Mehta,anjali.mehta198@email.com,917824656200,232 Main Street,Ahmedabad,Gujarat,244247,2025-11-12,True
199,Priya,Verma,priya.verma199@email.com,919180510715,790 Main Street,Delhi,Delhi,665990,2024-10-27,True
200,Raj,Malhotra,raj.malhotra200@email.com,919654424954,135 Main Street,Kolkata,West Bengal,726258,2025-03-30,True
201,Amit,Kumar,amit.kumar201@email.com,919975749366,790 Main Street,Bangalore,Karnataka,755087,2025-11-01,True
202,Divya,Nair,divya.nair202@email.com,918764624310,374 Main Street,Mumbai,Maharashtra,809217,2025-08-19,True
203,Neha,Chopra,neha.chopra203@email.com,918928130926,240 Main Street,Chennai,Tamil Nadu,659951,2025-08-18,True
204,Vikram,Mehta,vikram.mehta204@email.com,917833293142,377 Main Street,Ahmedabad,Gujarat,811256,2024-09-12,True
205,Neha,Nair,neha.nair205@email.com,918640129626,515 Main Street,Chennai,Tamil Nadu,653081,2025-02-15,True
206,Amit,Shah,amit.shah206@email.com,919597009738,142 Main Street,Hyderabad,Telangana,362147,2026-02-25,True
207,Karan,Nair,karan.nair207@email.com,919381734362,957 Main Street,Kolkata,West Bengal,207573,2024-04-21,True
208,Kavita,Joshi,kavita.joshi208@email.com,918224336336,86 Main Street,Delhi,Delhi,900185,2025-11-06,True
209,Vikram,Nair,vikram.nair209@email.com,917632857647,851 Main Street,Jaipur,Rajasthan,558723,2026-01-16,True
210,Sanjay,Singh,sanjay.singh210@email.com,918501456453,953 Main Street,Ahmedabad,Gujarat,127965,2025-02-19,True
211,Raj,Reddy,raj.reddy211@email.com,918606152369,242 Main Street,Jaipur,Rajasthan,504924,2026-01-26,True
212,Anjali,Singh,anjali.singh212@email.com,918368741091,954 Main Street,Mumbai,Maharashtra,203896,2024-06-23,True
213,Anjali,Mehta,anjali.mehta213@email.com,917590985753,40 Main Street,Bangalore,Karnataka,400814,2024-12-22,True
214,Divya,Shah,divya.shah214@email.com,919014812671,460 Main Street,Bangalore,Karnataka,745239,2026-04-14,True
215,Sanjay,Patel,sanjay.patel215@email.com,918099184899,221 Main Street,Mumbai,Maharashtra,975522,2025-11-17,True
216,Arjun,Agarwal,arjun.agarwal216@email.com,919266761348,434 Main Street,Lucknow,Uttar Pradesh,216587,2025-06-28,True
217,Sneha,Verma,sneha.verma217@email.com,917205082311,245 Main Street,Delhi,Delhi,540218,2024-07-04,True
218,Rohan,Chopra,rohan.chopra218@email.com,917269754673,114 Main Street,Ahmedabad,Gujarat,977330,2024-11-24,True
219,Pooja,Joshi,pooja.joshi219@email.com,919714225802,528 Main Street,Mumbai,Maharashtra,702980,2025-08-15,True
220,Divya,Kumar,divya.kumar220@email.com,918843567009,2 Main Street,Chennai,Tamil Nadu,744674,2025-04-23,True
221,Sneha,Chopra,sneha.chopra221@email.com,917804507108,681 Main Street,Pune,Maharashtra,800674,2026-01-22,True
222,Arjun,Gupta,arjun.gupta222@email.com,919259408103,558 Main Street,Delhi,Delhi,631971,2024-11-16,True
223,Arjun,Sharma,arjun.sharma223@email.com,919019214800,45 Main Street,Pune,Maharashtra,766549,2025-03-19,True
224,Anjali,Verma,anjali.verma224@email.com,918533706498,808 Main Street,Mumbai,Maharashtra,170841,2025-05-01,True
225,Sneha,Agarwal,sneha.agarwal225@email.com,919499255738,753 Main Street,Delhi,Delhi,893435,2025-05-14,True
226,Amit,Sharma,amit.sharma226@email.com,919345111169,347 Main Street,Kolkata,West Bengal,953025,2024-06-30,True
227,Amit,Shah,amit.shah227@email.com,919986674107,491 Main Street,Ahmedabad,Gujarat,762423,2025-10-15,True
228,Rohan,Kumar,rohan.kumar228@email.com,918965718821,38 Main Street,Delhi,Delhi,407696,2025-09-25,True
229,Raj,Mehta,raj.mehta229@email.com,917179984654,324 Main Street,Hyderabad,Telangana,425138,2024-11-08,True
230,Rahul,Shah,rahul.shah230@email.com,919033236512,260 Main Street,Jaipur,Rajasthan,138399,2024-06-26,True
231,Sneha,Verma,sneha.verma231@email.com,917205316740,887 Main Street,Kolkata,West Bengal,787584,2025-05-15,True
