order_id,customer_id,order_date,total_amount,discount_amount,tax_amount,final_amount,payment_method,payment_status,order_status,delivery_address,delivery_city,delivery_zip,special_instructions
93,88,2026-04-19 12:31:44,8636.56,76.11,428.02,8988.47,UPI,pending,out_for_delivery,680 Main Street,Pune,930884,
94,621,2026-01-25 12:31:44,10344.53,1362.21,449.12,9431.44,Debit Card,pending,processing,858 Main Street,Kolkata,371224,Call on arrival
95,444,2026-04-02 12:31:44,3729.48,505.04,161.22,3385.66,UPI,failed,processing,605 Main Street,Chennai,188868,Call on arrival
96,321,2026-02-24 12:31:44,2317.88,18.5,114.97,2414.35,Debit Card,pending,confirmed,393 Main Street,Mumbai,346961,
97,37,2026-02-19 12:31:44,3169.18,230.65,146.93,3085.46,Cash on Delivery,pending,cancelled,569 Main Street,Pune,894993,
98,127,2026-03-07 12:31:44,1596.97,179.64,70.87,1488.2,UPI,failed,cancelled,377 Main Street,Delhi,670913,Call on arrival
99,218,2026-02-05 12:31:44,734.7,19.9,35.74,750.54,Credit Card,pending,out_for_delivery,114 Main Street,Ahmedabad,977330,
100,909,2026-03-09 12:31:44,386.01,22.82,18.16,381.35,Net Banking,pending,processing,381 Main Street,Lucknow,908239,
101,30,2026-04-10 12:31:44,4630.19,599.57,201.53,4232.15,UPI,completed,pending,446 Main Street,Ahmedabad,284692,
102,561,2026-02-02 12:31:44,5436.88,98.35,266.93,5605.46,Cash on Delivery,completed,cancelled,540 Main Street,Hyderabad,601207,
103,926,2026-01-23 12:31:44,9372.41,261.99,455.52,9565.94,Cash on Delivery,pending,pending,639 Main Street,Ahmedabad,835381,Call on arrival
104,350,2026-02-20 12:31:44,3909.91,274.6,181.77,3817.08,Credit Card,completed,processing,592 Main Street,Lucknow,726962,
105,131,2026-01-23 12:31:44,3966.09,64.03,195.1,4097.16,Cash on Delivery,completed,pending,601 Main Street,Jaipur,326441,Leave at door
106,677,2026-02-07 12:31:44,4232.33,113.99,205.92,4324.26,Debit Card,completed,pending,900 Main Street,Lucknow,868677,
107,427,2026-01-20 12:31:44,3123.81,98.9,151.25,3176.16,Credit Card,failed,delivered,457 Main Street,Lucknow,492292,
108,893,2026-01-24 12:31:44,1004.0,59.48,47.23,991.75,Credit Card,pending,cancelled,467 Main Street,Delhi,747736,Leave at door
109,472,2026-01-22 12:31:44,3612.62,7.52,180.26,3785.36,Credit Card,pending,cancelled,408 Main Street,Delhi,328411,
110,880,2026-04-17 12:31:44,1687.1,76.15,80.55,1691.5,Cash on Delivery,pending,out_for_delivery,456 Main Street,Chennai,241678,Leave at door
111,23,2026-04-06 12:31:44,3984.68,349.79,181.74,3816.63,Debit Card,completed,delivered,111 Main Street,Bangalore,706794,Leave at door
112,53,2026-03-09 12:31:44,213.56,31.38,9.11,191.29,Cash on Delivery,failed,delivered,795 Main Street,Lucknow,647957,Call on arrival
113,749,2026-02-09 12:31:44,5652.2,196.62,272.78,5728.36,Credit Card,failed,pending,462 Main Street,Pune,760830,Leave at door
114,591,2026-03-11 12:31:44,8425.82,553.72,393.61,8265.71,Net Banking,pending,delivered,190 Main Street,Jaipur,489043,
115,944,2026-02-02 12:31:44,4911.98,146.98,238.25,5003.25,Net Banking,completed,pending,39 Main Street,Bangalore,582732,Leave at door
116,966,2026-02-16 12:31:44,3274.4,85.81,159.43,3348.02,Net Banking,pending,pending,758 Main Street,Delhi,157187,
117,441,2026-04-06 12:31:44,5841.38,811.92,251.47,5280.93,Cash on Delivery,completed,pending,990 Main Street,Ahmedabad,770153,
118,801,2026-02-01 12:31:44,7776.42,390.31,369.31,7755.42,Debit Card,pending,confirmed,430 Main Street,Jaipur,966662,Leave at door
119,993,2026-02-26 12:31:44,1386.16,70.97,65.76,1380.95,Net Banking,pending,pending,704 Main Street,Hyderabad,127351,
120,382,2026-02-26 12:31:44,3447.36,410.89,151.82,3188.29,UPI,pending,out_for_delivery,540 Main Street,Hyderabad,364679,
121,789,2026-04-19 12:31:44,5621.15,338.96,264.11,5546.3,Net Banking,completed,cancelled,154 Main Street,Chennai,295984,
122,932,2026-03-07 12:31:44,1561.55,142.98,70.93,1489.5,Debit Card,failed,out_for_delivery,395 Main Street,Hyderabad,298663,Leave at door
123,660,2026-03-25 12:31:44,7946.18,620.36,366.29,7692.11,Net Banking,completed,confirmed,898 Main Street,Mumbai,771425,
124,524,2026-02-09 12:31:44,4222.32,527.09,184.76,3879.99,UPI,failed,out_for_delivery,2 Main Street,Mumbai,895794,Call on arrival
125,114,2026-04-13 12:31:44,3833.22,565.18,163.4,3431.44,Net Banking,failed,cancelled,765 Main Street,Ahmedabad,455168,Call on arrival
126,865,2026-02-03 12:31:44,4039.2,314.86,186.22,3910.56,Debit Card,pending,processing,665 Main Street,Lucknow,664593,Call on arrival
127,597,2026-03-27 12:31:44,3123.95,209.07,145.74,3060.62,UPI,failed,delivered,81 Main Street,Ahmedabad,513982,Leave at door
128,603,2026-02-08 12:31:44,7773.5,1006.6,338.35,7105.25,Credit Card,failed,confirmed,602 Main Street,Mumbai,647945,Leave at door
129,485,2026-04-16 12:31:44,1473.37,26.71,72.33,1518.99,Net Banking,completed,pending,793 Main Street,Bangalore,952878,Call on arrival
130,157,2026-04-05 12:31:44,4942.92,659.18,214.19,4497.93,Debit Card,pending,cancelled,146 Main Street,Pune,876962,Leave at door
131,3,2026-04-05 12:31:44,8323.45,950.97,368.62,7741.1,Cash on Delivery,pending,cancelled,497 Main Street,Chennai,757193,
132,92,2026-01-31 12:31:44,6877.52,87.85,339.48,7129.15,Net Banking,failed,delivered,639 Main Street,Chennai,826353,
133,981,2026-02-07 12:31:44,7120.56,628.99,324.58,6816.15,Cash on Delivery,pending,processing,673 Main Street,Kolkata,243928,Leave at door
134,185,2026-02-26 12:31:44,283.83,16.26,13.38,280.95,Credit Card,pending,pending,461 Main Street,Jaipur,949153,Call on arrival
135,173,2026-03-15 12:31:44,1877.53,268.16,80.47,1689.84,Debit Card,pending,delivered,447 Main Street,Delhi,717476,
136,186,2026-04-17 12:31:44,191.2,2.83,9.42,197.79,Debit Card,completed,processing,488 Main Street,Kolkata,625721,
137,385,2026-04-05 12:31:44,757.14,85.42,33.59,705.31,Net Banking,pending,out_for_delivery,416 Main Street,Mumbai,497687,Call on arrival
138,771,2026-02-15 12:31:44,5090.3,423.06,233.36,4900.6,Net Banking,failed,pending,913 Main Street,Chennai,664781,
139,782,2026-02-08 12:31:44,2645.63,80.74,128.24,2693.13,Debit Card,completed,delivered,481 Main Street,Kolkata,576728,
140,801,2026-03-20 12:31:44,7000.64,1049.3,297.57,6248.91,Debit Card,failed,delivered,430 Main Street,Jaipur,966662,
141,47,2026-03-31 12:31:44,6439.22,946.22,274.65,5767.65,Cash on Delivery,completed,confirmed,890 Main Street,Bangalore,889359,
142,350,2026-03-25 12:31:44,7130.39,815.5,315.74,6630.63,Net Banking,pending,cancelled,592 Main Street,Lucknow,726962,
143,552,2026-04-17 12:31:44,4735.79,157.36,228.92,4807.35,Credit Card,completed,cancelled,398 Main Street,Jaipur,383572,
144,197,2026-04-09 12:31:44,9311.3,689.98,431.07,9052.39,Net Banking,pending,cancelled,317 Main Street,Mumbai,289019,Call on arrival
145,689,2026-01-23 12:31:44,8842.05,1171.26,383.54,8054.33,Credit Card,completed,cancelled,659 Main Street,Mumbai,264550,
146,875,2026-03-10 12:31:44,7475.14,1029.77,322.27,6767.64,Net Banking,completed,processing,56 Main Street,Ahmedabad,127645,
147,402,2026-03-27 12:31:44,5189.76,48.92,257.04,5397.88,Credit Card,pending,out_for_delivery,780 Main Street,Ahmedabad,382870,Leave at door
148,828,2026-04-17 12:31:44,6685.45,580.57,305.24,6410.12,Credit Card,pending,pending,601 Main Street,Pune,310040,Leave at door
149,321,2026-01-22 12:31:44,576.72,26.08,27.53,578.17,Cash on Delivery,pending,pending,393 Main Street,Mumbai,346961,
150,573,2026-04-14 12:31:44,5488.35,8.73,273.98,5753.6,Cash on Delivery,completed,out_for_delivery,907 Main Street,Bangalore,193035,Call on arrival
151,635,2026-04-08 12:31:44,3777.94,335.98,172.1,3614.06,Debit Card,failed,confirmed,755 Main Street,Pune,137034,Call on arrival
152,263,2026-03-06 12:31:44,5671.03,264.71,270.32,5676.64,Net Banking,pending,confirmed,863 Main Street,Lucknow,690996,Leave at door
153,317,2026-02-02 12:31:44,6616.18,341.21,313.75,6588.72,Debit Card,failed,confirmed,264 Main Street,Ahmedabad,853504,
154,350,2026-03-27 12:31:44,6442.0,212.01,311.5,6541.49,Credit Card,failed,confirmed,592 Main Street,Lucknow,726962,
155,478,2026-01-31 12:31:44,5352.43,147.92,260.23,5464.74,Credit Card,completed,pending,85 Main Street,Kolkata,489906,
156,367,2026-04-17 12:31:44,5597.92,285.34,265.63,5578.21,Net Banking,pending,confirmed,101 Main Street,Ahmedabad,941814,
157,23,2026-03-29 12:31:44,3005.42,108.26,144.86,3042.02,UPI,failed,confirmed,111 Main Street,Bangalore,706794,Call on arrival
158,819,2026-01-31 12:31:44,4538.0,626.93,195.55,4106.62,Net Banking,failed,confirmed,399 Main Street,Mumbai,766764,Call on arrival
159,302,2026-04-01 12:31:44,4642.21,45.17,229.85,4826.89,Net Banking,completed,cancelled,125 Main Street,Chennai,701334,Call on arrival
160,384,2026-02-16 12:31:44,6696.95,898.95,289.9,6087.9,Cash on Delivery,pending,out_for_delivery,701 Main Street,Hyderabad,968286,
161,314,2026-02-25 12:31:44,4511.47,27.84,224.18,4707.81,Net Banking,failed,processing,582 Main Street,Mumbai,732063,Leave at door
162,462,2026-02-20 12:31:44,4353.16,192.31,208.04,4368.89,Net Banking,failed,delivered,360 Main Street,Mumbai,658136,
163,805,2026-03-16 12:31:44,3450.55,101.78,167.44,3516.21,UPI,completed,processing,431 Main Street,Pune,488368,
164,196,2026-01-20 12:31:44,4632.69,329.69,215.15,4518.15,Net Banking,failed,delivered,662 Main Street,Jaipur,803024,Leave at door
165,740,2026-02-20 12:31:44,3184.69,66.38,155.92,3274.23,Debit Card,completed,cancelled,938 Main Street,Kolkata,934883,
166,512,2026-01-26 12:31:44,3234.65,275.39,147.96,3107.22,Credit Card,pending,confirmed,916 Main Street,Chennai,701790,
167,582,2026-01-30 12:31:44,9209.56,245.39,448.21,9412.38,Net Banking,completed,pending,629 Main Street,Kolkata,606186,
168,204,2026-04-12 12:31:44,3903.8,503.42,170.02,3570.4,Cash on Delivery,completed,confirmed,377 Main Street,Ahmedabad,811256,
169,133,2026-02-11 12:31:44,5378.29,473.96,245.22,5149.55,Net Banking,failed,cancelled,113 Main Street,Chennai,793169,Leave at door
170,283,2026-03-26 12:31:44,408.6,3.92,20.23,424.91,Cash on Delivery,failed,confirmed,572 Main Street,Kolkata,483366,Call on arrival
171,337,2026-02-07 12:31:44,5945.26,802.58,257.13,5399.81,Cash on Delivery,completed,out_for_delivery,353 Main Street,Mumbai,834406,
172,716,2026-02-07 12:31:44,953.63,39.16,45.72,960.19,Net Banking,completed,cancelled,576 Main Street,Delhi,603704,
173,715,2026-03-24 12:31:44,9043.47,36.24,450.36,9457.59,Cash on Delivery,completed,processing,556 Main Street,Bangalore,828038,Leave at door
174,877,2026-03-27 12:31:44,4139.57,443.09,184.82,3881.3,Cash on Delivery,pending,out_for_delivery,235 Main Street,Pune,359414,
175,862,2026-03-31 12:31:44,3277.3,262.83,150.72,3165.19,Cash on Delivery,pending,pending,763 Main Street,Delhi,450912,
176,694,2026-03-17 12:31:44,2022.48,270.82,87.58,1839.24,Net Banking,pending,out_for_delivery,764 Main Street,Delhi,785111,
177,857,2026-01-29 12:31:44,6063.5,383.53,284.0,5963.97,Credit Card,completed,confirmed,443 Main Street,Hyderabad,997904,
178,226,2026-04-08 12:31:44,1385.75,169.54,60.81,1277.02,UPI,failed,cancelled,347 Main Street,Kolkata,953025,
179,640,2026-03-25 12:31:44,5673.3,559.92,255.67,5369.05,UPI,failed,delivered,364 Main Street,Delhi,334176,
180,45,2026-04-12 12:31:44,4238.01,503.01,186.75,3921.75,Net Banking,pending,processing,233 Main Street,Hyderabad,478411,
181,615,2026-03-10 12:31:44,6910.84,396.38,325.72,6840.18,Debit Card,failed,delivered,727 Main Street,Delhi,631413,
182,239,2026-04-18 12:31:44,5851.6,208.96,282.13,5924.77,Net Banking,completed,cancelled,653 Main Street,Delhi,525942,
183,138,2026-03-16 12:31:44,4564.76,140.93,221.19,4645.02,Credit Card,failed,confirmed,470 Main Street,Jaipur,774591,
184,623,2026-03-03 12:31:44,9051.43,688.94,418.12,8780.61,Cash on Delivery,failed,out_for_delivery,231 Main Street,Hyderabad,810614,
185,169,2026-03-26 12:31:44,3325.95,482.79,142.16,2985.32,Debit Card,completed,out_for_delivery,20 Main Street,Mumbai,582087,
186,974,2026-03-05 12:31:44,5855.84,375.42,274.02,5754.44,Credit Card,completed,delivered,300 Main Street,Delhi,780956,Call on arrival
187,157,2026-02-09 12:31:44,2251.69,126.71,106.25,2231.23,Net Banking,completed,pending,146 Main Street,Pune,876962,
188,140,2026-02-19 12:31:44,2205.56,306.25,94.97,1994.28,Cash on Delivery,failed,processing,330 Main Street,Delhi,737846,Leave at door
189,502,2026-03-12 12:31:44,7891.89,1096.8,339.75,7134.84,Debit Card,pending,out_for_delivery,944 Main Street,Delhi,313068,
190,944,2026-03-05 12:31:44,840.38,32.94,40.37,847.81,Cash on Delivery,failed,confirmed,39 Main Street,Bangalore,582732,
191,254,2026-02-02 12:31:44,8009.03,791.08,360.9,7578.85,Cash on Delivery,failed,processing,317 Main Street,Delhi,517500,Leave at door
192,771,2026-04-09 12:31:44,3836.72,468.59,168.41,3536.54,UPI,failed,confirmed,913 Main Street,Chennai,664781,Leave at door
193,716,2026-03-12 12:31:44,594.08,0.14,29.7,623.64,Credit Card,failed,out_for_delivery,576 Main Street,Delhi,603704,Call on arrival
194,427,2026-01-27 12:31:44,2630.4,71.8,127.93,2686.53,Credit Card,completed,delivered,457 Main Street,Lucknow,492292,
195,191,2026-03-26 12:31:44,514.6,62.46,22.61,474.75,Debit Card,completed,out_for_delivery,97 Main Street,Delhi,685066,Leave at door
196,642,2026-01-31 12:31:44,2052.47,26.39,101.3,2127.38,Credit Card,completed,pending,55 Main Street,Delhi,765213,
197,31,2026-02-05 12:31:44,1405.19,140.24,63.25,1328.2,Credit Card,pending,confirmed,794 Main Street,Lucknow,606983,Call on arrival
198,811,2026-04-20 12:31:44,6287.39,942.59,267.24,5612.04,Debit Card,completed,cancelled,211 Main Street,Pune,821175,Leave at door
199,388,2026-02-01 12:31:44,1023.33,123.76,44.98,944.55,Credit Card,completed,cancelled,236 Main Street,Jaipur,321686,Leave at door
200,743,2026-04-03 12:31:44,148.07,19.3,6.44,135.21,UPI,failed,confirmed,527 Main Street,Hyderabad,186345,
201,463,2026-01-31 12:31:44,7387.81,819.17,328.43,6897.07,Credit Card,completed,out_for_delivery,721 Main Street,Bangalore,406849,Leave at door
202,675,2026-01-21 12:31:44,2335.83,68.35,113.37,2380.85,Debit Card,failed,delivered,872 Main Street,Delhi,895034,Call on arrival
203,33,2026-04-04 12:31:44,5300.27,83.85,260.82,5477.24,Credit Card,pending,processing,250 Main Street,Chennai,886931,Leave at door
